# CALSPEC 2024-06
# gj7541a_stis_004.fits
# Trimmed to 3000-10000 A.
# Error is square-added statistical and systematic.
# Wavelength (Angstrom)  Flux (erg/s/cm2/A)  Error (erg/s/cm2/A)
#
3388.443604  1.159800066315858e-13  1.3639285564482511e-15
3391.191162  1.1579000020085772e-13  1.349812434744903e-15
3393.938965  1.155499984974509e-13  1.3423747443141814e-15
3396.686523  1.1549000145973098e-13  1.3418633481722766e-15
3399.434082  1.1559999377012964e-13  1.344788470576501e-15
3402.181885  1.1558000379257444e-13  1.3398779029439125e-15
3404.929443  1.143899970405815e-13  1.3268362425341565e-15
3407.677246  1.152800050514477e-13  1.3364554663205315e-15
3410.424805  1.145299946461037e-13  1.3330723108500794e-15
3413.172607  1.1441000057066386e-13  1.3269174518179745e-15
3415.920166  1.144599958433426e-13  1.3261350051329483e-15
3418.667969  1.139800059890561e-13  1.3246769437933684e-15
3421.415771  1.1381000308841038e-13  1.316897052051956e-15
3424.16333  1.153500038542088e-13  1.3335983183103244e-15
3426.911133  1.1498999452283498e-13  1.3297217661480966e-15
3429.658936  1.1423999767001813e-13  1.3229286677902356e-15
3432.406738  1.1410000006449594e-13  1.320233303072954e-15
3435.154541  1.1282999952096431e-13  1.3077739778144352e-15
3437.902344  1.1358999813882234e-13  1.313085721426667e-15
3440.650146  1.1362999842272348e-13  1.3124848574297084e-15
3443.397949  1.130999997432311e-13  1.3063949022971868e-15
3446.145752  1.129699971264865e-13  1.3055954090740972e-15
3448.893555  1.1421999413993578e-13  1.3184044530607135e-15
3451.641357  1.142600012001005e-13  1.316753374088278e-15
3454.38916  1.1209999942196625e-13  1.2958619417189612e-15
3457.136963  1.1269000191544212e-13  1.3007143817155443e-15
3459.88501  1.1301999917542882e-13  1.3028175645235767e-15
3462.632812  1.1336999996549788e-13  1.3055771978657312e-15
3465.380615  1.1338999671931665e-13  1.306599778391304e-15
3468.128662  1.1081999711339344e-13  1.2801546686241959e-15
3470.876465  1.1211000118700742e-13  1.2944010216431844e-15
3473.624512  1.1159999926133382e-13  1.285322310756276e-15
3476.372314  1.1272000043430208e-13  1.2971517611393927e-15
3479.120361  1.1197999857026283e-13  1.2891776870948223e-15
3481.868164  1.1162000279141618e-13  1.285089376695781e-15
3484.616211  1.1155999897743268e-13  1.2842213796830822e-15
3487.364014  1.127099986692609e-13  1.296481334561641e-15
3490.112061  1.1173999686685601e-13  1.2893078125313442e-15
3492.860107  1.1117999966850367e-13  1.2799792269249958e-15
3495.608154  1.1181000244588069e-13  1.2863740080394106e-15
3498.355957  1.1172000011303723e-13  1.2843616695149712e-15
3501.104004  1.1019000111228e-13  1.268456614227022e-15
3503.852051  1.1158999749629264e-13  1.284214815177741e-15
3506.600098  1.1155999897743268e-13  1.2819736718784245e-15
3509.348145  1.102599999150411e-13  1.2690202087743013e-15
3512.096191  1.092800031238586e-13  1.2579806166144992e-15
3514.844238  1.1066000275405247e-13  1.2717424667876582e-15
3517.592285  1.1120000319858603e-13  1.2767829480985317e-15
3520.340332  1.0974000300058989e-13  1.2617022676264977e-15
3523.088379  1.0965000066774644e-13  1.2629340652900423e-15
3525.836426  1.0923000107491629e-13  1.2574521739345309e-15
3528.584473  1.1016000259342004e-13  1.2632370913269225e-15
3531.33252  1.0904000142045178e-13  1.2521871230135166e-15
3534.080566  1.0912999697703166e-13  1.2559445611675366e-15
3536.828857  1.1008999701439537e-13  1.2643147289940668e-15
3539.576904  1.0896000085264951e-13  1.272774682313006e-15
3542.324951  1.0946000101328193e-13  1.2618914736110907e-15
3545.073242  1.1032999871780219e-13  1.2641678746568366e-15
3547.821289  1.0789999671740116e-13  1.2388578949181677e-15
3550.569336  1.090999984581717e-13  1.2508171531004511e-15
3553.317627  1.0905000318549296e-13  1.2501756315220244e-15
3556.065674  1.0704000077792208e-13  1.2295056982684145e-15
3558.813965  1.0656999913614962e-13  1.2246517759641738e-15
3561.562012  1.0777000087692015e-13  1.2371016779811543e-15
3564.310303  1.0863999858144041e-13  1.2445514386313743e-15
3567.05835  1.0816000195089034e-13  1.2394297480366827e-15
3569.806641  1.0882000324712732e-13  1.246922813246331e-15
3572.554688  1.0756999945741447e-13  1.2343334684304088e-15
3575.302979  1.0747000213579341e-13  1.2351392085214845e-15
3578.05127  1.0740000333303232e-13  1.2316216924497742e-15
3580.799316  1.0787999996358238e-13  1.2343636439791548e-15
3583.547607  1.0663000295013311e-13  1.224170555371015e-15
3586.295898  1.0578999698820923e-13  1.2144272412578671e-15
3589.044189  1.0700000049402095e-13  1.2246559052497916e-15
3591.79248  1.0743000185189228e-13  1.2287398746049782e-15
3594.540527  1.0674000203679535e-13  1.2210908494539167e-15
3597.288818  1.0510999893815348e-13  1.2048344872510938e-15
3600.037109  1.0714999986458432e-13  1.2269690463496247e-15
3602.7854  1.0673000027175417e-13  1.2224877126630574e-15
3605.533691  1.0556999881488477e-13  1.2093859129140463e-15
3608.281982  1.0660999942005076e-13  1.2198379818458092e-15
3611.030273  1.0528999682757681e-13  1.2069425404985729e-15
3613.778564  1.0518999950595576e-13  1.2046054707179799e-15
3616.526855  1.0510999893815348e-13  1.2029914494369868e-15
3619.275146  1.0621999834608056e-13  1.2138713758862315e-15
3622.023438  1.0440000236923777e-13  1.1956017222469035e-15
3624.771729  1.0543000120936258e-13  1.205866067501731e-15
3627.52002  1.0521999802481571e-13  1.2020330316571686e-15
3630.268311  1.0387999867852299e-13  1.1905359358267307e-15
3633.016846  1.0466000082646337e-13  1.194362936561544e-15
3635.765137  1.0513000246823584e-13  1.199724443359427e-15
3638.513428  1.0405000157916872e-13  1.187230177991834e-15
3641.261719  1.0572999995048932e-13  1.2049616480723003e-15
3644.01001  1.0452999820971878e-13  1.1921837325464956e-15
3646.758545  1.0349999936959398e-13  1.1818669771280566e-15
3649.506836  1.0349999936959398e-13  1.1804406795239988e-15
3652.255127  1.0414999890078977e-13  1.1876161073784267e-15
3655.003662  1.0459000202370228e-13  1.1910314501008745e-15
3657.751953  1.0371999754291844e-13  1.181727322570878e-15
3660.500244  1.0532000212270035e-13  1.197804113788883e-15
3663.248779  1.0440999735801537e-13  1.1875402979296475e-15
3665.99707  1.0366000050519852e-13  1.1803006014503466e-15
3668.745605  1.0371000255414084e-13  1.1799376478324481e-15
3671.493896  1.0372999930795962e-13  1.1813602396673617e-15
3674.242432  1.034899976045528e-13  1.17852066759081e-15
3676.990723  1.0205000093663902e-13  1.162680198565089e-15
3679.739014  1.0203999917159784e-13  1.1611100112391163e-15
3682.487549  1.0228000087500466e-13  1.1634436928879203e-15
3685.236084  1.0241999848052685e-13  1.1642321746826957e-15
3687.984375  1.0095999828253072e-13  1.1484410453261522e-15
3690.73291  1.0198999712265552e-13  1.1587048611853877e-15
3693.481201  1.0305000125790387e-13  1.1712104556186502e-15
3696.229736  1.0360999845625621e-13  1.1738437751725454e-15
3698.978027  1.0272999898669477e-13  1.1773065517400394e-15
3701.726562  1.0152000225714664e-13  1.1515496562425754e-15
3704.475098  1.0233999791272458e-13  1.1577877362617481e-15
3707.223389  1.0214000326948247e-13  1.1556971530688061e-15
3709.971924  1.0218999854216121e-13  1.1556157320267513e-15
3712.720459  9.922900175152183e-14  1.12574500926271e-15
3715.46875  1.008300024420497e-13  1.1408303484159539e-15
3718.217285  1.0033999727019488e-13  1.136398566156801e-15
3720.96582  1.0059000073864288e-13  1.1376896561266533e-15
3723.714355  1.0153999901096541e-13  1.1460977286775731e-15
3726.462646  1.0011999909687042e-13  1.1330723736520517e-15
3729.211182  1.006499977763628e-13  1.1377815592014304e-15
3731.959717  1.017400004304711e-13  1.1476987268270022e-15
3734.708252  1.0159000105990773e-13  1.1433720825324272e-15
3737.456787  1.0134999935650091e-13  1.1407533742968721e-15
3740.205078  1.014800019732455e-13  1.1395564108632834e-15
3742.953613  1.0118999822089636e-13  1.137942813098764e-15
3745.702148  1.0018000291085391e-13  1.1272467986781919e-15
3748.450684  1.0003999852906814e-13  1.1241771512773423e-15
3751.199219  1.0110000266431649e-13  1.1355127814522098e-15
3753.947754  1.0041999783799715e-13  1.12850760722018e-15
3756.696289  9.897899828307383e-14  1.1116841564591702e-15
3759.44458  9.904499909032388e-14  1.1144321430983e-15
3762.193115  9.856900045528486e-14  1.106709108443472e-15
3764.94165  9.864200114281102e-14  1.1087439992201321e-15
3767.690186  9.935199771172673e-14  1.1129801168684693e-15
3770.438721  1.0001000001020818e-13  1.1183336827324717e-15
3773.187256  1.0061999925750284e-13  1.1242466079790171e-15
3775.935791  1.003200005163761e-13  1.12108442222868e-15
3778.684326  9.898700105035949e-14  1.1121380602397801e-15
3781.432861  1.0022000319475505e-13  1.1200780412082235e-15
3784.181396  9.860299696965585e-14  1.1072347982663618e-15
3786.929932  9.803700277803695e-14  1.0959819655620884e-15
3789.678467  9.834200240168428e-14  1.0973143483881194e-15
3792.427002  9.780099907014117e-14  1.0919432065904615e-15
3795.175537  9.674800159143251e-14  1.0802926919174522e-15
3797.924072  9.792600080436517e-14  1.091605240444507e-15
3800.672607  9.670400331202034e-14  1.0783587039406338e-15
3803.421143  9.655399716519339e-14  1.0771777282539245e-15
3806.169678  9.562199664893412e-14  1.0663945753189037e-15
3808.918213  9.668399978193798e-14  1.076437103820669e-15
3811.666748  9.65149997683018e-14  1.074681733916603e-15
3814.415283  9.656899981275516e-14  1.0759460364694984e-15
3817.163818  9.648700024719736e-14  1.0735694737777396e-15
3819.912354  9.678399710355903e-14  1.0750265822052538e-15
3822.660889  9.664900038055743e-14  1.0733324104316268e-15
3825.409424  9.748799667920818e-14  1.0812218870605902e-15
3828.157959  9.652099676156836e-14  1.0718537026639576e-15
3830.906494  9.685899678884072e-14  1.0746210651817558e-15
3833.655029  9.69699987625125e-14  1.0742838401896302e-15
3836.403564  9.641200056191568e-14  1.0681236872016049e-15
3839.1521  9.726799850588372e-14  1.076151547838326e-15
3841.900635  9.64260003224679e-14  1.0718569849166282e-15
3844.649414  9.661799897468792e-14  1.0691085747610248e-15
3847.397949  9.599000197133001e-14  1.0616100038372193e-15
3850.146484  9.453999676211147e-14  1.048431124090008e-15
3852.89502  9.492099895805003e-14  1.0489260030894414e-15
3855.643555  9.646600060636903e-14  1.064875951123595e-15
3858.39209  9.533799666611512e-14  1.0537082452305208e-15
3861.140625  9.576200103071988e-14  1.0583579267153548e-15
3863.88916  9.461999732991375e-14  1.0442612867697936e-15
3866.637695  9.514599801389509e-14  1.0497553542239218e-15
3869.38623  9.517199853724401e-14  1.0533822434249463e-15
3872.134766  9.507500310038802e-14  1.047922798442537e-15
3874.883301  9.362699688892501e-14  1.0347693296837435e-15
3877.631836  9.377000315547585e-14  1.0381996013618866e-15
3880.380371  9.234399947185071e-14  1.019874361185395e-15
3883.128906  9.424899689901636e-14  1.0385699665180735e-15
3885.877686  9.284000163697209e-14  1.0230866277587385e-15
3888.626221  9.303099740218257e-14  1.0248956783758369e-15
3891.374756  9.295500160615491e-14  1.0230793220995685e-15
3894.123291  9.252300125052806e-14  1.019525065973771e-15
3896.871826  9.231099906822568e-14  1.0173660848703382e-15
3899.620361  9.376700127071078e-14  1.030097942979636e-15
3902.368896  9.349099727891386e-14  1.0279017983056424e-15
3905.117432  9.330599850696994e-14  1.025820214837765e-15
3907.865967  9.338500296402624e-14  1.0267216696518804e-15
3910.614502  9.336300043618836e-14  1.0252615966090508e-15
3913.363037  9.363100166069963e-14  1.0288766273488137e-15
3916.111572  9.27340005458209e-14  1.0187364782998773e-15
3918.860107  9.320400218759337e-14  1.0220583297607718e-15
3921.608643  9.19710000431978e-14  1.0089681767147854e-15
3924.357178  9.197900281048346e-14  1.0095515706572068e-15
3927.105713  9.283100275894046e-14  1.0174838224500066e-15
3929.854248  9.262799945466971e-14  1.0154434259591893e-15
3932.602783  9.214800282411964e-14  1.0101594226759802e-15
3935.351318  9.160699949257653e-14  1.0037581829353426e-15
3938.099854  9.250900148997585e-14  1.0132046120004778e-15
3940.848389  9.186899694755765e-14  1.0072334532388086e-15
3943.596924  9.122700018364752e-14  9.993950103449173e-16
3946.345459  9.216900246494797e-14  1.0088775441894292e-15
3949.093994  9.103399864441794e-14  9.970371882571166e-16
3951.842529  9.137399766944582e-14  9.988698499176197e-16
3954.591064  9.254200189360087e-14  1.0110137612824046e-15
3957.339355  9.081900135361407e-14  9.93876696572674e-16
3960.087891  9.1542997683082e-14  1.0005008118575578e-15
3962.836426  9.114500061808972e-14  9.964640645891806e-16
3965.584961  9.055499812461384e-14  9.897055887030386e-16
3968.333496  9.147999876059701e-14  9.992473089747399e-16
3971.082031  9.114899861360076e-14  9.946744957298691e-16
3973.830566  9.045899879850383e-14  9.879207844040554e-16
3976.579102  9.106300105253193e-14  9.93422263396472e-16
3979.327393  9.089900192141634e-14  9.9136757322467e-16
3982.075928  9.033600283829893e-14  9.8701202393077e-16
3984.824463  9.11550023831309e-14  9.937950637723823e-16
3987.572998  9.041699951684717e-14  9.866654815762245e-16
3990.321533  8.913400209977287e-14  9.739882570920246e-16
3993.069824  9.026800303329335e-14  9.84153393612905e-16
3995.818359  8.975199733808961e-14  9.78170058752619e-16
3998.566895  8.962900137788471e-14  9.769898242197386e-16
4001.31543  8.950200064590519e-14  9.761238389102895e-16
4004.063721  8.926199894249837e-14  9.739278001154143e-16
4006.812256  8.823099721536401e-14  9.620675389088412e-16
4009.560791  8.901600024582498e-14  9.705144690962163e-16
4012.309082  8.866099857323534e-14  9.671116201097406e-16
4015.057617  8.874999801906924e-14  9.672743563147318e-16
4017.806152  8.847900168605649e-14  9.64179403804583e-16
4020.554443  8.927999669856163e-14  9.719576014801008e-16
4023.302979  8.806999996901349e-14  9.59429031278144e-16
4026.05127  8.839500312274318e-14  9.671244314830678e-16
4028.799805  8.733299998973931e-14  9.51815263873512e-16
4031.54834  8.75549971608193e-14  9.534603077361982e-16
4034.296631  8.841199799179689e-14  9.619181434727692e-16
4037.045166  8.806100109098186e-14  9.58511271079794e-16
4039.793457  8.806100109098186e-14  9.582271974051086e-16
4042.541992  8.867499833378756e-14  9.64225990616682e-16
4045.290283  8.748299936030268e-14  9.517995937639878e-16
4048.038818  8.791300071817401e-14  9.576704850005257e-16
4050.787109  8.805499732145172e-14  9.58156258395776e-16
4053.5354  8.755200205231781e-14  9.529661698905937e-16
4056.283936  8.738300203868163e-14  9.50655993406076e-16
4059.032227  8.776199846060109e-14  9.549904727554131e-16
4061.780762  8.760699820751713e-14  9.523502710588215e-16
4064.529053  8.770000242512566e-14  9.52967016923541e-16
4067.277344  8.734500075253601e-14  9.495676619479727e-16
4070.025879  8.717799973665535e-14  9.480199209951023e-16
4072.77417  8.565300161841871e-14  9.325223944339008e-16
4075.522461  8.673799661374285e-14  9.432115267117764e-16
4078.270752  8.644400164214625e-14  9.407925064935365e-16
4081.019287  8.591499907339983e-14  9.338797647318758e-16
4083.767578  8.68039974209929e-14  9.435869740656469e-16
4086.515869  8.700799683600963e-14  9.454639990767624e-16
4089.26416  8.591899706891087e-14  9.342656941184685e-16
4092.012451  8.586200191595603e-14  9.33478482873114e-16
4094.760742  8.618899729117765e-14  9.412853737897201e-16
